"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","HPPCenter"
"SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8320,9.02641753381525,-0.872549019607843
"SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7415,8.91126025457203,-0.872549019607843
"SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5276,8.5709235138372,0.127450980392157
"SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",6030,8.70450228972123,0.127450980392157
"SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",6991.5,8.8524504044809,-0.872549019607843
"SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7017.5,8.85616230823604,-0.872549019607843
"SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",9338,9.14184737553088,-0.872549019607843
"SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8330,9.02761873516089,-0.872549019607843
"SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",11133.5,9.31771386024451,1.12745098039216
"SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9431.5,9.15181042978578,1.12745098039216
"SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",8056.5,8.99423449801362,0.127450980392157
"SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7275,8.89219909203969,0.127450980392157
"SS2F6.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9047.5,9.1102437554379,0.127450980392157
"SS2F6.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",5392.5,8.59276437826331,0.127450980392157
"SS2F7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",6802.5,8.8250454706574,1.12745098039216
"SS2F7.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7298.5,8.89542412657063,1.12745098039216
"SS2F8.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5070,8.53109609658523,1.12745098039216
"SS2F8.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",4053.5,8.30733598442776,1.12745098039216
"SS2M10.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5634,8.63657494843632,1.12745098039216
"SS2M10.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",6546.5,8.78668583466781,1.12745098039216
"SS2M13.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",13156.5,9.48467121205955,0.127450980392157
"SS2M13.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7003.5,8.8541653030791,0.127450980392157
"SS2M15.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5688.5,8.64620187197977,0.127450980392157
"SS2M15.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",4595,8.43272403478979,0.127450980392157
"SS2M17.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",10391.5,9.24874344325913,-0.872549019607843
"SS2M17.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7085,8.86573515212478,-0.872549019607843
"SS2M18.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",9680,9.17781718027062,1.12745098039216
"SS2M18.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7405,8.9099107267019,1.12745098039216
"SS2M19.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8078.5,8.99696149071688,-0.872549019607843
"SS2M19.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",3889,8.26590733415575,-0.872549019607843
"SS2M2.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5697.5,8.64778276111984,0.127450980392157
"SS2M2.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",4590,8.43163530305459,0.127450980392157
"SS2M24.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7537.5,8.92764584103544,-0.872549019607843
"SS2M24.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",4530,8.41847721847708,-0.872549019607843
"SS2M25.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",5707.5,8.64953637840395,-0.872549019607843
"SS2M25.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",5630,8.63586472113374,-0.872549019607843
"SS2M27.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",8417.5,9.03806815103523,0.127450980392157
"SS2M27.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7303.5,8.89610896429087,0.127450980392157
"SS2M28.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8960,9.10052550596898,-0.872549019607843
