"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","HPPCenter","Study2"
"SS2F13.A","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",4980,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F13.A","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7354,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F14.A","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",5420,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F14.A","Wisconsin","Saffran & Wilson",2,3,3,"Novel",5339,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F14.B","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",10073.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F14.B","Wisconsin","Saffran & Wilson",1,2,2,"Novel",9777,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F15.A","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",9707,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F15.A","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7675,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F15.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",6853.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F15.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",10391,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F18.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",7505,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F18.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",7796.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F19.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",8667.5,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F19.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",7565,-0.659574468085106,"Saffran & Wilson (2003)"
