"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3963.33,-0.5,-1,6318.7760373792,-2355.4460373792,-1.66901701406359
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7730.33,0.5,0,5587.11448198602,2143.21551801398,1.51863515767506
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",7185.5,-0.5,-1,6778.54055446348,406.959445536519,0.288362470570575
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5717.5,0.5,0,6046.87899907031,-329.378999070308,-0.233390680490924
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4622,-0.5,-1,6198.45348787946,-1576.45348787946,-1.11704010679789
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",6755.17,0.5,0,5466.79193248629,1288.37806751371,0.912916229496528
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3221,-0.5,-1,4085.62010284579,-864.620102845794,-0.612650699464413
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3606,0.5,0,4021.07156599311,-415.071565993112,-0.294110539873514
"baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Familiar",5842.83,-0.5,-1,5572.19309096002,270.636909039981,0.191767333512719
"baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",6909,0.5,0,6841.87059118832,67.1294088116783,0.0475664157330405
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3823.33,-0.5,-1,4675.77578690995,-852.445786909953,-0.604024248206751
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3548.67,0.5,0,3944.11423151678,-395.44423151678,-0.280203044366563
"baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Familiar",3233.33,-0.5,-1,4196.77355398692,-963.443553986925,-0.682674813252453
"baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",5900.67,0.5,0,5466.45105421523,434.218945784773,0.30767795009641
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3990.25,-0.5,-1,5013.06444391374,-1022.81444391374,-0.724743713942792
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5276.25,0.5,0,4948.51590706106,327.734092938937,0.232225136353538
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9794.33,-0.5,-1,8728.98548539467,1065.34451460533,0.754879582252715
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9246.33,0.5,0,8664.43694854199,581.893051458013,0.412316558238544
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5418.5,-0.5,-1,6287.6113401754,-869.111340175397,-0.615833090993809
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7200.5,0.5,0,6223.06280332272,977.437196677284,0.69259039924691
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9212.5,-0.5,-1,10196.4765413347,-983.976541334696,-0.697224034371997
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",13688.17,0.5,0,10131.928004482,3556.24199551798,2.51987449614897
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3677.67,-0.5,-1,4076.87600780805,-399.206007808055,-0.282868555923018
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3126.33,0.5,0,4012.32747095537,-885.997470955374,-0.627798230133588
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5487.83,-0.5,-1,5202.89874718304,284.931252816956,0.201895989652594
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",4278,0.5,0,5138.35021033036,-860.350210330363,-0.609625147979308
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5046,-0.5,-1,5683.5023257657,-637.502325765696,-0.451720061221155
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4976.67,0.5,0,4951.84077037252,24.8292296274776,0.0175934434653663
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",6400.83,-0.5,-1,6200.99157437547,199.83842562453,0.14160109259057
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",5990.33,0.5,0,6136.44303752279,-146.113037522788,-0.103532469745468
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9978.5,-0.5,-1,10064.1745816333,-85.6745816332623,-0.0607071154038394
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12574.17,0.5,0,9999.62604478058,2574.54395521942,1.82426495726339
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3295.67,-0.5,-1,4923.91269233332,-1628.24269233332,-1.15373679269373
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5736.33,0.5,0,4859.36415548064,876.965844519357,0.621398619211849
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5031.5,-0.5,-1,6904.32475962618,-1872.82475962618,-1.32704224107532
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",9209.67,0.5,0,6839.7762227735,2369.8937772265,1.67925436326933
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4039.33,-0.5,-1,5006.59151465076,-967.261514650756,-0.685380135813801
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4202.83,0.5,0,4274.92995925758,-72.0999592575827,-0.0510884379453202
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5223.17,-0.5,-1,4816.70248360975,406.467516390251,0.288013900447632
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3526.83,0.5,0,4752.15394675707,-1225.32394675707,-0.868237472828109
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7439.83,-0.5,-1,6917.05692235722,522.773077642779,0.370425451160409
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6834.83,0.5,0,6852.50838550454,-17.6783855045396,-0.0125265133312421
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4049,-0.5,-1,4957.36225958829,-908.362259588288,-0.643645425166679
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4063.67,0.5,0,4225.70070419511,-162.030704195115,-0.114811376618608
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5295.83,-0.5,-1,5850.33585730529,-554.505857305294,-0.392910597633642
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5165.67,0.5,0,5118.67430191212,46.9956980878796,0.0333001132064737
