"Model","Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid",".fittedExp"
"Raw","baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5487.83,8.61028819224955,-0.5,-1,4710.34727398743,777.482726012575,0.593441291093374,Inf
"Raw","baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",4278,8.36124088964235,0.5,0,5482.58222611356,-1204.58222611356,-0.919440146482943,Inf
"Raw","baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5046,8.526351129201,-0.5,-1,5028.15382914574,17.8461708542609,0.0136217234396205,Inf
"Raw","baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4976.67,8.51251627165727,0.5,0,5381.45891842391,-404.788918423914,-0.308969511903847,Inf
"Raw","baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",6400.83,8.76418294843907,-0.5,-1,5745.47596940704,655.35403059296,0.500222228772762,Inf
"Raw","baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",5990.33,8.6979017814117,0.5,0,6517.71092153317,-527.38092153317,-0.402542210265899,Inf
"Raw","baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9978.5,9.20818805740804,-0.5,-1,9752.00870616522,226.491293834779,0.172877520410075,Inf
"Raw","baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12574.17,9.43939998881344,0.5,0,10524.2436582914,2049.92634170865,1.56467905223945,Inf
"Raw","baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3295.67,8.10036476465766,-0.5,-1,4421.00898487338,-1125.33898487338,-0.858954929488896,Inf
"Raw","baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5736.33,8.65457491200534,0.5,0,5193.24393699951,543.086063000488,0.414529717019867,Inf
"Raw","baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5031.5,8.52347342937339,-0.5,-1,6474.90748385027,-1443.40748385027,-1.10173200269415,Inf
"Raw","baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",9209.67,9.12800929798853,0.5,0,7247.1424359764,1962.5275640236,1.49796883253412,Inf
"Raw","baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4039.33,8.3038341156178,-0.5,-1,4326.12513428392,-286.795134283921,-0.21890656740584,Inf
"Raw","baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4202.83,8.34351338688755,0.5,0,4679.4302235621,-476.600223562096,-0.363782039835965,Inf
"Raw","baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5223.17,8.56085977625048,-0.5,-1,4309.82056585241,913.349434147591,0.697146379315419,Inf
"Raw","baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3526.83,8.16815472947135,0.5,0,5082.05551797854,-1555.22551797854,-1.18708108675796,Inf
"Raw","baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7439.83,8.91460327810372,-0.5,-1,6488.11209432194,951.717905678056,0.726432477283274,Inf
"Raw","baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6834.83,8.82978687686629,0.5,0,7260.34704644807,-425.517046448074,-0.324790991462234,Inf
"Raw","baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4049,8.30622521603216,-0.5,-1,4275.06914712426,-226.069147124255,-0.172555301947154,Inf
"Raw","baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4063.67,8.30984178517395,0.5,0,4628.37423640243,-564.704236402429,-0.431030555309257,Inf
"Raw","baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5295.83,8.57467499740375,-0.5,-1,5201.17799197898,94.6520080210212,0.0722465052473291,Inf
